date,wind_all_a_proxy_amount,hs300_amount,csi500_amount,csi1000_amount,csi2000_amount,hs300_share_pct,csi500_share_pct,csi1000_share_pct,csi2000_share_pct
2025-12-10,17251.86,4014.53,2804.95,3602.45,4582.94,23.27012855425444,16.258826584495814,20.8815165437234,26.564903726322843
2025-12-11,18070.48,4324.31,3007.45,3819.34,4609.54,23.93024424365042,16.642889397514622,21.13579716753512,25.508674921750835
2025-12-12,20468.88,5238.63,3731.45,4227.79,4789.35,25.593144324457416,18.229868952282683,20.654720727269886,23.398202539660208
2025-12-15,17528.45,4243.83,3010.24,3726.59,4136.45,24.211096816889114,17.173452301829307,21.26023692910668,23.598492736094748
2025-12-16,17065.39,3905.0,2849.69,3616.22,4231.71,22.882571098580225,16.69865148115572,21.190374201820177,24.797030715383595
2025-12-17,17860.69,4525.05,3024.1,3662.64,4275.12,25.335247406455185,16.931596707629996,20.50671054701694,23.935917369373747
2025-12-18,16353.61,3821.02,2755.11,3489.84,4128.73,23.364994028841338,16.847105929516477,21.339875415886766,25.246596928751508
2025-12-19,17035.32,3715.77,2927.38,3623.45,4364.99,21.812152633469754,17.184179692544667,21.27021975519098,25.62317584876597
2025-12-22,18412.24,4482.41,3272.08,3811.86,4406.33,24.344729375676177,17.771221752486387,20.702858533236583,23.93152598488831
2025-12-23,18752.41,4331.41,3285.59,3971.82,4664.63,23.097884485247498,17.52089464767462,21.180317623174837,24.874829421924968
2025-12-24,18504.66,4063.76,3319.31,4062.86,4585.09,21.960738538292517,17.93769785556719,21.955874898539072,24.7780288856969
2025-12-25,19021.5,3853.56,3363.67,4344.19,4897.35,20.258970112767134,17.68351602134427,22.838314538811343,25.746392240359594
2025-12-26,21356.79,4604.27,3869.14,4736.66,5300.02,21.55881103855027,18.116673900899897,22.178707567944432,24.81655716987431
2025-12-29,21168.63,4826.14,3904.46,4668.73,5026.39,22.798546717477702,18.444556874960732,22.05494639945995,23.74452196481303
2025-12-30,21130.65,4571.85,4076.24,4680.24,5140.97,21.636106792739458,19.290651257770108,22.149058358356225,24.329445615728808
2025-12-31,20181.7,4444.92,3803.7,4406.72,5040.02,22.024507350718718,18.847272529073365,21.835226963040775,24.97321831163876
2026-01-05,25149.14,6305.77,5046.9,5422.31,5586.11,25.07350151933625,20.067883036954743,21.56061797739406,22.211932495504815
2026-01-06,27803.01,7254.15,5716.75,5808.15,5944.77,26.09123976145029,20.561622644454687,20.89036402893068,21.38174967386625
2026-01-07,28236.31,6648.98,5827.41,6179.17,6206.97,23.54762360945888,20.638001211914727,21.883773056748563,21.982227847760562
2026-01-08,27681.93,6306.56,5644.53,6053.89,6302.16,22.782226528280365,20.39066640223424,21.86946502646311,22.76633168279813
2026-01-09,30941.37,6687.89,6311.46,7053.23,7168.19,21.61471841744564,20.39812716760764,22.795467686143176,23.167009088479276
2026-01-12,35775.44,7999.54,6858.24,8275.65,8118.69,22.360423799120287,19.17024640367805,23.132210253738318,22.693473511436892
2026-01-13,36327.67,8010.55,7352.19,8246.52,8294.3,22.050822417182275,20.238539933885107,22.700382380703196,22.83190746887978
2026-01-14,39204.55,8913.34,8159.59,8842.81,8642.76,22.735473306032077,20.812864833291034,22.555570718194694,22.045298313588603
2026-01-15,28821.74,6740.59,6008.02,6386.6,6318.96,23.38717232200415,20.845445139675814,22.158967501615102,21.92428354429677
2026-01-16,29982.27,7856.24,6161.86,6334.11,6355.98,26.20295261166016,20.551679375844458,21.126185575675223,21.199128685052866
2026-01-19,26792.92,6551.49,5609.26,5816.76,5950.27,24.452318000426978,20.93560537634569,21.710063703396273,22.208366986502405
2026-01-20,27492.04,6719.61,5881.71,5790.37,6120.19,24.442020308423817,21.394229020472835,21.0619873970793,22.261680108133117
2026-01-21,25729.79,6653.31,5175.92,5647.21,5557.5,25.858392159438537,20.116448676806144,21.94813871391877,21.599476715511475
2026-01-22,26677.8,6902.35,5461.38,5718.06,5695.57,25.873010518108693,20.471628095270226,21.43377639835369,21.34947409456552
2026-01-23,30672.66,7556.18,6394.21,6819.48,6596.52,24.6349028744165,20.846610629792135,22.233089663563575,21.50618824712301
2026-01-26,32257.36,7968.33,6921.05,7031.82,6849.87,24.70236249959699,21.45572359300327,21.799118092739146,21.235060773727295
2026-01-27,28697.34,7152.68,6108.86,6302.08,6016.9,24.92454004447799,21.287199440784406,21.96050226257904,20.966751622275794
2026-01-28,29381.44,8294.14,6127.32,6273.57,5794.17,28.229181415206334,20.854389709966565,21.352152923750502,19.720510635285407
2026-01-29,32007.89,9179.66,6662.57,6777.36,6267.85,28.679366243760523,20.8153989531956,21.174029278406042,19.58220301306959
2026-01-30,28057.73,7505.65,6004.97,5967.49,5664.25,26.750738566519814,21.402194689306654,21.26861296334379,20.18784128295482
2026-02-02,25575.57,7259.2,5460.56,4989.41,5249.16,28.38333612896995,21.350687394259445,19.508499712811876,20.52411735105024
2026-02-03,25134.35,6666.27,5432.64,5257.6,5178.0,26.52254782797248,21.614404191872875,20.917986739263203,20.601288674662367
2026-02-04,24592.91,6360.19,5018.87,5162.15,5257.0,25.86188458380891,20.40779232713819,20.990399265479358,21.376079528612106
2026-02-05,21524.91,5504.33,4352.78,4409.65,4729.17,25.571907153154182,20.22205900047898,20.486264518643747,21.97068419798271
2026-02-06,21240.6,5057.6,4183.73,4445.9,5004.52,23.811003455646265,19.696854137830382,20.931141304859562,23.56110467689237
2026-02-09,22303.39,5227.57,4279.82,4825.57,5248.71,23.438454871658525,19.18910084969146,21.636038288349887,23.533238669099184
