date,pe_ttm,dividend_yield_ttm,erp,pe_ttm_mean,pe_ttm_std,pe_ttm_pctile,erp_mean,erp_std,erp_pctile,cn10y
2024-02-29,8.3047,4.295,9.7039,10.444973561544066,1.8165463715263415,5.28040786598689,6.564799208070587,1.6600342317724495,96.21323529411765,2.3375
2024-03-01,8.3203,4.2862,9.6513,10.444200109210048,1.816667884580152,5.351292318893338,6.565933533977214,1.6607831598643306,96.03087100330761,2.3675
2024-03-04,8.3272,4.0972,9.6613,10.443429730713246,1.8167860426278606,5.458515283842795,6.567070700202791,1.6615372574334248,96.03232916972814,2.3475
2024-03-05,8.1371,4.2355,9.9725,10.442590760276465,1.8169879107811384,4.183339396144052,6.568321316912228,1.6625130174930365,97.57620271759089,2.3169
2024-03-06,8.2719,4.1623,9.8241,10.441801418181818,1.8171288718679706,5.054545454545455,6.569516536693098,1.6633775308409393,96.69603524229075,2.265
2024-03-07,8.1714,4.4319,9.9602,10.440976117775355,1.817313991519767,4.471101417666303,6.5707608242025675,1.6643397785256733,97.46788990825688,2.2776
2024-03-08,8.2301,4.4145,9.868,10.440172747093023,1.8174723017962382,4.832848837209303,6.571970376358033,1.6652319560306177,96.91856199559794,2.2825
2024-03-11,8.3272,4.291,9.7038,10.439405230657465,1.817588199593052,5.61205957137668,6.573118828731939,1.6660060138498478,96.03960396039604,2.305
2024-03-12,8.5547,4.1825,9.3419,10.43872087872186,1.8176128912974154,8.424110384894698,6.5741337778416415,1.6665436508385276,94.75806451612904,2.3476
2024-03-13,8.5379,4.2384,9.3799,10.438030925589837,1.8176436539393614,8.312159709618875,6.575161907640894,1.6671033715246812,95.01648955661415,2.3326
2024-03-14,8.4479,4.2626,9.4948,10.43730881712627,1.8177090650042016,7.111756168359943,6.576231372143589,1.667734068306638,95.42124542124543,2.3425
2024-03-15,8.3411,4.3218,9.6688,10.436548494740661,1.8178176567814985,5.83968081247733,6.577363766368363,1.668478113565227,95.89893811790553,2.32
2024-03-18,8.3447,4.3064,9.6911,10.435790029006526,1.8179243429623895,5.946337926033358,6.578503494125914,1.6692356815560792,95.97364568081991,2.2926
2024-03-19,8.2519,4.3578,9.8383,10.434998477709316,1.818070160400392,4.965567234505255,6.57969624806147,1.6700942946958643,96.74350530552506,2.2801
2024-03-20,8.4931,4.349,9.4792,10.434294891304349,1.8181164168850912,8.007246376811594,6.58075678344989,1.6707090288590947,95.28163862472567,2.2951
2024-03-21,8.805,4.2692,9.0721,10.433704780876495,1.8180514824210519,12.857660268018833,6.581667695046435,1.6710824782841636,93.0164533820841,2.2851
2024-03-22,8.6144,4.3615,9.3034,10.433046089790007,1.8180518170183644,9.123823316437365,6.582662480245613,1.6715868335129365,94.44444444444444,2.3051
2024-03-25,8.5878,4.3693,9.3293,10.432378248280855,1.81806161023923,8.97575099529497,6.583666001443916,1.6721055421746236,94.48301059554257,2.3151
2024-03-26,8.6593,4.3224,9.2308,10.431736758321273,1.8180454236003014,9.84081041968162,6.58463281444558,1.6725651355612556,93.86413440467494,2.3175
2024-03-27,8.464,4.3718,9.5271,10.431025099457505,1.8181016501200604,7.3779385171790235,6.585707099653888,1.673204314739793,95.43629061701351,2.2876
