date,hsi_close,hstech_close,vhsi_close,up_count,down_count,southbound_net_buy_100mn,short_ratio,hstech_hsi_ratio,advance_line,advance_line_ma20,southbound_ma20,breadth_z,vhsi_z,relative_z,southbound_z,short_z,hk_sentiment_z
2025-09-17,26908.39,6334.24,22.46,60.0,25.0,86.2554,0.1108,0.23540018559267203,35.0,7.2,68.46527,0.5660706115233959,-0.34081644613572265,1.3514061145203355,1.1218617233346064,-1.5807939203276484,0.22354561658299335
2025-09-18,26544.85,6271.22,21.79,8.0,78.0,57.4765,0.1149,0.23624996939142623,-70.0,3.7,67.90870500000001,0.24024686398604023,-0.49119368701575805,1.4111849189540346,1.0955092104771955,-1.430166733887959,0.16511611450271074
2025-09-19,26545.1,6294.42,21.0,42.0,44.0,90.0369,0.1309,0.2371217286806228,-2.0,2.6,70.03521,0.13765852396883396,-0.6683728860337355,1.472049977617666,1.1817895989007892,-0.8614844999881062,0.25232814289308947
2025-09-22,26344.14,6257.91,21.62,17.0,70.0,116.7259,0.1463,0.23754466837786317,-53.0,-3.05,76.501045,-0.38849843909235793,-0.5275413913533854,1.4984696072111323,1.448924733334097,-0.3152629057931771,0.3432183208612618
2025-09-23,26159.12,6167.06,20.59,18.0,67.0,-37.2355,0.1461,0.2357518142812144,-49.0,-3.1,67.02774000000001,-0.3926273482497405,-0.758978206414162,1.3577977090401023,1.0476143641946913,-0.3219410677413833,0.18637309016590156
2025-09-24,26518.65,6323.15,21.38,49.0,36.0,125.6508,0.1604,0.23844162504501545,13.0,0.75,66.234,-0.03297360004263398,-0.5793963513331976,1.555574458168205,1.0117888938243447,0.18573237898150005,0.42814515591964364
2025-09-25,26484.68,6379.19,20.43,25.0,62.0,101.3268,0.1589,0.24086339725456377,-37.0,-1.0,80.65423,-0.19638734806847588,-0.7929168702021105,1.7308475410447488,1.611737438572172,0.13223847565395755,0.49710384740005836
2025-09-26,26128.2,6195.11,20.2,30.0,55.0,96.8311,0.1434,0.23710435468191454,-25.0,-3.25,79.984705,-0.40648115701398124,-0.8433162382347643,1.4416694292858216,1.5771214614396925,-0.41896319931301795,0.2700060592327501
2025-09-29,26622.88,6324.25,21.12,78.0,9.0,-15.1341,0.1563,0.23754943116597452,69.0,-1.9,73.76337500000001,-0.279612942815694,-0.6338836497168565,1.4698330058755096,1.3120768619397194,0.0406519938491819,0.3818130538263721
2025-09-30,26855.56,6465.66,21.22,58.0,28.0,141.9673,0.1263,0.24075684886109244,30.0,1.4,76.60993500000001,0.0299440756273147,-0.6102441917134895,1.7037653216474051,1.4262410916156003,-1.027116576905064,0.30451794405435323
2025-10-02,27287.12,6682.86,21.65,60.0,25.0,,0.1664,0.2449089533816687,35.0,4.7,77.98715789473685,0.33945606302693404,-0.5119539893399218,2.004222533177294,1.4783453850878188,0.4027803646605073,0.7425700713225265
2025-10-03,27140.92,6622.85,21.03,24.0,63.0,,0.1908,0.2440171519609505,-39.0,4.2,81.95988888888888,0.292075528539533,-0.6516443833703408,1.926861145781812,1.6372824698703354,1.2701674072377012,0.8949484336118081
2025-10-06,26957.77,6550.3,20.86,16.0,71.0,,0.1775,0.24298374828481734,-55.0,-2.0,83.75496470588236,-0.29111779971031615,-0.6890950082945805,1.8403321477308374,1.7043636018538915,0.7941148301005743,0.6717195543360812
2025-10-08,26829.46,6514.19,21.39,32.0,53.0,,0.1919,0.24279989235713278,-21.0,-4.8,79.43750625000001,-0.5541013248942933,-0.5677503293669093,1.817601430606458,1.5188788446866488,1.3040716869935371,0.7037400616050883
2025-10-09,26752.59,6471.34,21.91,62.0,26.0,27.9116,0.1273,0.24189583139426873,36.0,-4.7,75.33334375,-0.5438558954262919,-0.44883161395410176,1.742346636046523,1.3439994689985097,-0.9977328246140506,0.2191851542101177
2025-10-10,26290.32,6259.75,22.21,38.0,47.0,-3.644,0.1303,0.23810094361727055,-9.0,-7.35,70.78251875,-0.7924594763464056,-0.38002147770190486,1.45591259664394,1.1520169770250746,-0.8889049130109996,0.1093087413219409
2025-10-13,25889.48,6145.51,26.3,19.0,63.0,181.9495,0.1514,0.23737479470425826,-44.0,-9.6,71.2957875,-1.0025756187796404,0.551398409948499,1.3974467164997608,1.1701125088550954,-0.13598895680227968,0.396078611944287
2025-10-14,25441.35,5923.26,27.22,19.0,68.0,79.1283,0.1599,0.23282019232469978,-49.0,-13.45,72.0463,-1.3615938580046252,0.7598961221766173,1.0581715583116498,1.197878247849419,0.16739860625983297,0.3643501353185788
2025-10-15,25910.6,6075.27,25.03,81.0,5.0,-49.8779,0.1593,0.2344704483879185,76.0,-8.7,60.6388875,-0.9116506834789223,0.2597750622728161,1.176960395744477,0.7237717846756524,0.14577592143083565,0.27892649612897175
2025-10-16,25888.51,6003.56,25.87,46.0,40.0,145.1581,0.1664,0.23190056129147643,6.0,-7.65,71.53291875000001,-0.8110548626695955,0.45106917601861524,0.9848794786571256,1.1723882063981874,0.3993956869003557,0.43933553706093764
2025-10-17,25247.1,5760.38,28.88,9.0,77.0,57.8828,0.1664,0.2281600659085598,-68.0,-12.8,69.75963125,-1.293139235720905,1.1364145735399516,0.7072996794763989,1.0961178217079715,0.39887165649119416,0.4091128990989222
2025-10-20,25858.83,5933.17,25.48,78.0,10.0,-24.4861,0.1495,0.22944464231367,68.0,-5.9,64.63696875000001,-0.6414140291000605,0.35873953087465055,0.8007842689577525,0.8820199182406294,-0.20697707694130615,0.23863052240633315
2025-10-21,26027.55,6007.94,24.71,56.0,28.0,10.7378,0.1482,0.230830024339594,28.0,-4.4,59.680775,-0.49915572357274124,0.1823374595815604,0.9014055026319617,0.6754393526079682,-0.25334588915875605,0.20133614041799858
2025-10-22,25781.77,5923.09,24.03,20.0,66.0,91.9411,0.1665,0.22973946319434235,-46.0,-4.05,58.131725,-0.46545734081409057,0.0265419638635567,0.8191919221049251,0.610233182488359,0.4038306265164528,0.2788680708318406
2025-10-23,25967.98,5951.45,24.71,61.0,27.0,49.0086,0.1691,0.22918417219976295,34.0,0.1,63.52198125000001,-0.07307152160390869,0.18227140632942243,0.7767023327682363,0.8323917687728193,0.49666747146166096,0.442992291545646
2025-10-24,26160.15,6059.89,25.07,61.0,22.0,31.3295,0.1577,0.23164584300930996,39.0,1.4,57.6269,0.049900265560078615,0.2646009884972392,0.9569004076576134,0.5867077648772546,0.0861196911025647,0.38884582353895014
2025-10-27,26433.7,6171.08,24.08,60.0,26.0,26.32,0.1548,0.23345502143097635,34.0,4.95,52.938975000000006,0.38574109049548216,0.037046463305112444,1.0881993045700946,0.39138923193667,-0.018388728999283583,0.3767974722616151
2025-10-28,26346.14,6093.44,23.22,30.0,57.0,20.6465,0.1332,0.231283975565301,-27.0,4.85,48.1774375,0.3757759738233273,-0.16062797585827654,0.9255686559534614,0.1931063121603545,-0.7963663216995472,0.10749132887586385
2025-10-30,26282.69,6051.76,21.89,24.0,63.0,124.9046,0.1549,0.230256492010521,-39.0,-0.55,56.92985625,-0.13666706484274682,-0.4663184905538527,0.8478751108191204,0.5567424803097881,-0.012994194713399484,0.15772756820378192
2025-10-31,25906.65,5908.08,21.1,25.0,61.0,79.8996,0.135,0.22805264285424784,-36.0,-3.85,53.050625000000004,-0.44966190346231977,-0.6474079845824873,0.683543013060021,0.39457523880113915,-0.7309258307666948,-0.14997549339006838
2025-11-03,26158.36,5922.48,21.14,62.0,26.0,50.1687,0.1621,0.2264086892297529,36.0,-3.8,52.8811,-0.44431251766695745,-0.6371902323512081,0.5609022423960311,0.38700757216575243,0.2486701888002858,0.023015450668780767
2025-11-04,25952.4,5818.29,21.26,28.0,58.0,90.1586,0.1798,0.22419082628196235,-30.0,-3.35,54.95207222222223,-0.40095441191053743,-0.6085717456777582,0.39591780779097274,0.47282939014785247,0.8875798112181464,0.1493601703137352
2025-11-05,25935.41,5785.85,21.76,46.0,37.0,95.1665,0.171,0.22308689162808687,9.0,-0.15,57.068621052631585,-0.09592262257546459,-0.492409890847634,0.3135935177146541,0.5604562434816275,0.5681528072326372,0.17077401100116404
2025-11-06,26485.9,5944.22,20.95,83.0,4.0,50.2418,0.1575,0.22442960216568061,79.0,4.85,56.72728000000001,0.38056292323810476,-0.6785673703483497,0.4128310309208713,0.5453971528852494,0.07894304775391625,0.1478333568899584
2025-11-07,26241.83,5837.36,21.53,34.0,49.0,68.955,0.1723,0.222444852359763,-15.0,2.3,58.77945000000001,0.13692438085985192,-0.5436379188378366,0.2649117533073196,0.6303097475474247,0.6148214956299143,0.2206658917013348
2025-11-10,26649.06,5915.56,21.64,78.0,9.0,60.9747,0.1557,0.22198006233615744,69.0,6.2,62.01038500000001,0.5090088403839846,-0.5174570169278884,0.23004457804191386,0.764283202295449,0.012299981925370207,0.19963591714376588
2025-11-11,26696.41,5924.39,21.3,53.0,31.0,40.9523,0.1576,0.2219171042098919,22.0,9.5,54.960525,0.8231838821557169,-0.5953442268199519,0.2250946040996809,0.468273939800261,0.08124787623866656,0.2004912150948747
2025-11-12,26922.73,5933.99,20.29,71.0,17.0,39.2843,0.1634,0.22040818297401488,54.0,14.65,52.96832500000001,1.3121031204945601,-0.8279736870452261,0.1124030139334639,0.3842470393253267,0.29187667428761555,0.254531232199148
