date,indicator_key,indicator,group,value,mom_diff,yoy_diff
2016-10-31,M5207838,服务业PMI,headline,52.6,0.30000000000000426,0.30000000000000426
2016-10-31,M6642294,高技术制造业,industry,53.7,1.3000000000000043,
2016-10-31,M6642295,装备制造业,industry,52.3,0.3999999999999986,
2016-10-31,M6642296,消费品制造业,industry,51.7,0.9000000000000057,
2016-11-30,M0017127,生产,component,53.9,0.6000000000000014,2.0
2016-11-30,M0017128,新订单,component,53.2,0.4000000000000057,3.4000000000000057
2016-11-30,M0017129,新出口订单,component,50.3,1.0999999999999943,3.8999999999999986
2016-11-30,M0017130,在手订单,component,46.7,0.9000000000000057,3.700000000000003
2016-11-30,M0017131,产成品库存,component,45.9,-1.0,-0.8000000000000043
2016-11-30,M0017132,采购量,component,52.9,0.5,4.600000000000001
2016-11-30,M0017133,进口,component,50.6,0.7000000000000028,3.8999999999999986
2016-11-30,M0017134,主要原材料购进价格,component,68.3,5.699999999999996,27.199999999999996
2016-11-30,M0017135,原材料库存,component,48.4,0.29999999999999716,1.2999999999999972
2016-11-30,M0017136,从业人员,component,49.2,0.4000000000000057,1.6000000000000014
2016-11-30,M0017137,供应商配送时间,component,49.7,-0.5,-0.8999999999999986
2016-11-30,M0017126,制造业PMI,headline,51.7,0.5,2.1000000000000014
2016-11-30,M5207831,建筑业PMI,headline,60.4,-1.3999999999999986,2.299999999999997
2016-11-30,M5207838,服务业PMI,headline,53.7,1.1000000000000014,0.9000000000000057
2016-11-30,M6642296,消费品制造业,industry,53.2,1.5,-0.19999999999999574
2016-12-31,M0017127,生产,component,53.3,-0.6000000000000014,1.0999999999999943
2016-12-31,M0017128,新订单,component,53.2,0.0,3.0
2016-12-31,M0017129,新出口订单,component,50.1,-0.19999999999999574,2.6000000000000014
2016-12-31,M0017130,在手订单,component,46.2,-0.5,2.6000000000000014
2016-12-31,M0017131,产成品库存,component,44.4,-1.5,-1.7000000000000028
2016-12-31,M0017132,采购量,component,52.1,-0.7999999999999972,1.8000000000000043
2016-12-31,M0017133,进口,component,50.3,-0.30000000000000426,2.6999999999999957
2016-12-31,M0017134,主要原材料购进价格,component,69.6,1.2999999999999972,27.199999999999996
2016-12-31,M0017135,原材料库存,component,48.0,-0.3999999999999986,0.3999999999999986
2016-12-31,M0017136,从业人员,component,48.9,-0.30000000000000426,1.5
2016-12-31,M0017137,供应商配送时间,component,50.0,0.29999999999999716,-0.7000000000000028
2016-12-31,M0017126,制造业PMI,headline,51.4,-0.30000000000000426,1.6999999999999957
2016-12-31,M5207831,建筑业PMI,headline,61.9,1.5,3.6000000000000014
2016-12-31,M5207838,服务业PMI,headline,53.2,-0.5,-0.5
2016-12-31,M6642294,高技术制造业,industry,52.0,,
2016-12-31,M6642295,装备制造业,industry,53.8,,2.5999999999999943
2017-01-31,M0017127,生产,component,53.1,-0.19999999999999574,1.7000000000000028
2017-01-31,M0017128,新订单,component,52.8,-0.4000000000000057,3.299999999999997
2017-01-31,M0017129,新出口订单,component,50.3,0.19999999999999574,3.3999999999999986
2017-01-31,M0017130,在手订单,component,46.3,0.09999999999999432,2.8999999999999986
2017-01-31,M0017131,产成品库存,component,45.0,0.6000000000000014,0.3999999999999986
2017-01-31,M0017132,采购量,component,52.6,0.5,3.6000000000000014
2017-01-31,M0017133,进口,component,50.7,0.4000000000000057,4.300000000000004
2017-01-31,M0017134,主要原材料购进价格,component,64.5,-5.099999999999994,19.4
2017-01-31,M0017135,原材料库存,component,48.0,0.0,1.2000000000000028
2017-01-31,M0017136,从业人员,component,49.2,0.30000000000000426,1.4000000000000057
2017-01-31,M0017137,供应商配送时间,component,49.8,-0.20000000000000284,-0.7000000000000028
2017-01-31,M0017126,制造业PMI,headline,51.3,-0.10000000000000142,1.8999999999999986
2017-01-31,M5207831,建筑业PMI,headline,61.1,-0.7999999999999972,3.3000000000000043
2017-01-31,M5207838,服务业PMI,headline,53.5,0.29999999999999716,0.7999999999999972
2017-01-31,M6642294,高技术制造业,industry,52.9,0.8999999999999986,
